opinion_id,author,recomendation,score,pros,cons,usefull,useless,publish_date,purchase_date
14763067,a...k,Polecam,5.0,"['audio (dolby', 'bateria', 'jakość', 'wydajność', 'wygląd']",[],0,0,2021-07-25 14:37:38,2021-07-17 07:31:04
15971087,j...t,Polecam,5.0,"['bateria', 'jakość', 'wydajność', 'wygląd']",[],0,0,2022-04-16 18:30:44,2022-04-07 13:00:44
14602548,s...m,Polecam,5.0,"['bateria', 'jakość', 'wydajność', 'wygląd']",[],0,0,2021-06-15 16:11:49,2021-06-11 11:32:25
14295779,i...o,Polecam,5.0,[],[],0,0,2021-04-15 12:26:09,2021-04-13 14:10:13
14992733,m...k,Polecam,4.5,[],[],0,0,2021-09-24 08:23:02,2021-09-05 13:04:32
13806837,r...z,Polecam,5.0,"['bateria', 'jakość', 'wydajność', 'wygląd']",[],0,0,2021-01-20 14:59:12,2021-01-18 19:41:21
14340056,a...2,Polecam,5.0,"['bateria', 'jakość', 'wydajność', 'wygląd']",[],0,0,2021-04-22 17:48:18,2021-03-22 21:28:19
15343705,w...a,Polecam,5.0,"['bateria', 'jakość', 'wydajność', 'wygląd']",[],0,0,2021-12-10 13:20:36,2021-12-04 12:55:40
15142697,s...1,Polecam,5.0,"['bateria', 'jakość', 'wydajność', 'wygląd']",[],0,0,2021-10-29 10:53:57,2021-10-28 22:30:38
16225285,1...k,Polecam,5.0,"['bateria', 'jakość', 'wydajność', 'wygląd']",[],0,0,2022-06-19 10:45:15,2022-06-06 09:53:53
13724632,m...l,Polecam,4.5,[],[],0,0,2021-01-07 08:09:06,2020-12-07 11:26:38
14211755,w...a,Polecam,5.0,"['bateria', 'jakość', 'wydajność', 'wygląd']",[],0,0,2021-03-31 20:11:24,2021-03-22 10:11:30
14473958,m...l,Polecam,5.0,[],[],0,0,2021-05-18 12:26:46,2021-05-14 10:26:01
13446557,e...1,Polecam,5.0,"['bateria', 'jakość', 'wydajność', 'wygląd']",[],2,2,2020-11-25 17:23:04,2020-11-20 13:37:29
14573640,k...a,Polecam,5.0,"['audio (dolby', 'bateria', 'jakość', 'wydajność', 'wygląd']",[],0,0,2021-06-08 21:54:03,2021-05-29 21:45:47
15686830,m...6,Polecam,5.0,"['audio (dolby', 'bateria', 'jakość', 'wydajność', 'wygląd']",[],0,0,2022-02-10 21:33:37,2022-01-07 15:29:16
14287020,c...a,Polecam,5.0,[],[],0,0,2021-04-14 12:30:42,2021-04-12 09:18:43
13893631,k...i,Polecam,5.0,"['bateria', 'jakość', 'wydajność', 'wygląd']",[],0,0,2021-02-03 21:58:57,2021-01-25 12:39:56
14469269,m...3,Polecam,5.0,"['bateria', 'jakość', 'wydajność', 'wygląd']",[],0,0,2021-05-17 15:59:31,2021-05-13 19:35:04
14322325,n...1,Polecam,5.0,"['audio (dolby', 'bateria', 'jakość', 'wydajność', 'wygląd']",[],0,0,2021-04-20 12:35:41,2021-04-17 16:02:10
14548961,m...z,Polecam,5.0,[],[],0,0,2021-06-02 13:08:40,2021-05-19 21:35:41
14243405,t...9,Polecam,5.0,[],[],0,0,2021-04-07 10:44:47,2021-03-16 18:43:45
14130608,u...k,Polecam,5.0,"['bateria', 'jakość', 'wydajność', 'wygląd']",[],0,0,2021-03-17 12:39:28,2021-03-15 12:04:56
15141519,k...k,Polecam,5.0,"['bateria', 'jakość', 'wydajność', 'wygląd']",[],0,0,2021-10-29 07:32:11,2021-10-20 19:31:54
15944949,Paweł,Polecam,4.5,"['bateria', 'jakość', 'wydajność', 'wygląd']",[],0,0,2022-04-11 11:25:08,2022-04-09 16:30:39
14505967,p...a,Polecam,5.0,"['audio (dolby', 'bateria', 'jakość', 'wydajność', 'wygląd']",[],0,0,2021-05-24 21:32:31,2021-05-20 18:13:40
15108483,s...1,Polecam,5.0,"['bateria', 'jakość', 'wydajność', 'wygląd']",[],0,0,2021-10-21 12:23:32,2021-10-20 11:30:56
15047926,j...r,Polecam,5.0,"['bateria', 'jakość', 'wydajność', 'wygląd']",[],0,0,2021-10-07 20:49:31,2021-09-27 21:05:35
15021044,z...i,Polecam,5.0,"['bateria', 'jakość', 'wydajność', 'wygląd']",[],0,0,2021-10-01 10:44:44,2021-09-30 13:02:42
14403743,w...y,Polecam,4.5,[],[],0,0,2021-05-04 21:36:35,2021-04-24 16:08:09
14182893,b...o,Polecam,5.0,"['bateria', 'jakość', 'wydajność', 'wygląd']",[],0,0,2021-03-26 00:11:27,2021-03-01 17:52:49
13826808,d...k,Polecam,5.0,"['bateria', 'jakość', 'wydajność', 'wygląd']",[],0,0,2021-01-23 13:37:07,2021-01-12 14:38:25
13818103,j...g,Polecam,5.0,"['bateria', 'jakość', 'wydajność', 'wygląd']",[],0,0,2021-01-21 22:42:41,2021-01-19 21:15:27
15595622,m...6,Polecam,5.0,[],[],0,0,2022-01-21 20:04:57,2022-01-07 15:36:14
15154251,r...s,Polecam,5.0,[],[],0,0,2021-11-02 14:39:59,2021-10-30 13:30:36
14815948,d...i,Polecam,5.0,"['audio (dolby', 'bateria', 'jakość', 'wydajność', 'wygląd']",[],0,0,2021-08-07 20:03:09,2021-07-07 21:31:02
14800244,k...9,Polecam,5.0,"['bateria', 'jakość', 'wydajność', 'wygląd']",[],0,0,2021-08-04 10:03:20,2021-08-02 14:35:13
16154540,m...a,Polecam,5.0,"['bateria', 'jakość', 'wydajność', 'wygląd']",[],0,0,2022-06-01 00:32:08,2022-05-21 21:57:16
15561881,p...p,Polecam,5.0,[],[],0,0,2022-01-14 16:20:42,2022-01-12 16:32:35
15054764,a...1,Polecam,4.5,"['bateria', 'jakość', 'wydajność']",[],0,0,2021-10-08 22:37:27,2021-09-28 18:41:59
14633667,t...y,Polecam,5.0,"['bateria', 'jakość', 'wydajność', 'wygląd']",[],0,0,2021-06-23 06:57:39,2021-06-12 07:31:28
13825890,k...d,Polecam,5.0,"['bateria', 'jakość', 'wydajność', 'wygląd']",[],0,0,2021-01-23 10:27:20,2021-01-20 15:46:37
13794003,K...i,Polecam,5.0,"['bateria', 'jakość', 'wydajność', 'wygląd']",[],0,0,2021-01-18 21:57:36,2021-01-02 23:03:36
13430846,j...e,Polecam,5.0,"['bateria', 'jakość', 'wydajność', 'wygląd']",[],2,3,2020-11-23 19:21:02,2020-11-18 19:14:04
14655839,k...a,Nie polecam,1.0,"['bateria', 'wydajność', 'wygląd']",['jakość'],0,0,2021-06-28 21:31:58,2021-06-07 21:26:50
16091150,d...7,Nie polecam,1.5,"['bateria', 'jakość', 'wydajność', 'wygląd']",[],0,0,2022-05-16 21:36:48,2022-04-24 19:59:11
13670263,m...1,Polecam,5.0,[],"['bateria', 'jakość', 'wydajność', 'wygląd']",0,9,2020-12-29 12:13:11,2020-12-26 20:02:01
13393559,Aleksander,Polecam,5.0,"['bateria', 'jakość', 'wydajność', 'wygląd']",[],5,2,2020-11-17 17:08:24,
13992004,b...8,Nie polecam,0.5,[],[],0,4,2021-02-20 10:17:59,2021-01-29 10:54:05
15441390,m...k,Nie polecam,0.5,[],"['bateria', 'jakość', 'wydajność', 'wygląd']",0,3,2021-12-28 15:42:04,2021-12-21 14:41:52
13541695,Użytkownik Ceneo,Nie polecam,1.0,['wygląd'],"['bateria', 'jakość', 'wydajność']",1,11,2020-12-09 21:04:04,
13552743,Użytkownik Ceneo,Nie polecam,1.0,[],"['bateria', 'jakość', 'wydajność', 'wygląd']",1,7,2020-12-10 21:15:58,
