opinion_id,author,recomendation,score,pros,cons,usefull,useless,publish_date,purchase_date
14719424,i...1,Polecam,5.0,[],[],2,0,2021-07-14 12:03:14,2021-07-07 06:47:40
10503847,Artec,,3.0,[],[],8,7,2019-05-10 14:16:32,2019-05-02 18:48:00
13087684,b...k,Polecam,5.0,"['głośność pracy', 'klasa energetyczna', 'pojemność', 'wygoda']",[],1,2,2020-09-15 21:55:02,2020-08-25 15:06:58
11175739,Jacek,Polecam,5.0,"['klasa energetyczna', 'oświetlenie', 'pojemność', 'wygoda']",[],4,0,2019-10-19 17:03:54,2019-10-14 16:10:14
10621393,Paweł,Polecam,5.0,"['jakość wykończenia', 'oświetlenie', 'pojemność']",[],2,0,2019-06-05 21:24:41,2019-05-06 19:04:53
10657627,Julia,Polecam,5.0,"['głośność pracy', 'klasa energetyczna', 'oświetlenie', 'pojemność', 'wygoda']",[],4,0,2019-06-13 21:29:23,2019-06-03 21:21:03
10962431,Waldemar,Polecam,5.0,"['głośność pracy', 'jakość wykończenia', 'klasa energetyczna', 'oświetlenie', 'pojemność', 'wygoda']",[],1,0,2019-08-25 22:07:27,2019-08-19 13:00:48
11306062,marek,Polecam,4.0,"['głośność pracy', 'klasa energetyczna', 'oświetlenie', 'pojemność', 'wygoda']",[],2,0,2019-11-21 16:25:07,2019-11-06 10:40:28
12675535,l...2,Polecam,5.0,"['głośność pracy', 'jakość wykończenia', 'klasa energetyczna', 'oświetlenie', 'pojemność', 'wygoda']",[],2,2,2020-06-18 16:29:53,2020-06-10 06:03:49
13755487,d...i,Nie polecam,1.0,[],"['głośność pracy', 'jakość wykończenia', 'klasa energetyczna', 'oświetlenie', 'pojemność', 'wygoda']",5,3,2021-01-12 16:16:32,2020-12-12 13:32:19
8785428,Kamila,,3.5,"['głośność pracy', 'jakość wykończenia', 'klasa energetyczna', 'oświetlenie', 'pojemność', 'wygoda']",[],0,0,2018-12-21 07:14:19,2018-11-19 15:12:12
14522259,j...a,Polecam,5.0,"['głośność pracy', 'klasa energetyczna', 'pojemność', 'wygoda']",[],0,0,2021-05-27 12:21:30,2021-04-07 12:45:20
14576616,b...2,Polecam,5.0,"['głośność pracy', 'klasa energetyczna', 'pojemność', 'wygoda']",[],0,0,2021-06-09 11:47:57,2021-06-01 19:35:33
10189388,Alexandra,Polecam,4.5,[],[],0,0,2019-03-04 15:29:31,2019-02-27 08:20:36
16022994,m...a,Polecam,4.5,"['głośność pracy', 'jakość wykończenia', 'klasa energetyczna', 'oświetlenie', 'pojemność', 'wygoda']",[],0,0,2022-04-28 23:05:24,2022-04-13 09:37:15
10958033,kamil,Polecam,4.0,['klasa energetyczna'],[],0,0,2019-08-23 18:40:42,2019-08-02 18:02:05
10926525,Ewa,Polecam,4.5,"['głośność pracy', 'klasa energetyczna', 'oświetlenie', 'pojemność', 'wygoda']",[],0,0,2019-08-16 17:12:29,2019-07-14 13:19:43
10149491,Klaudia,Polecam,4.0,"['głośność pracy', 'jakość wykończenia', 'klasa energetyczna', 'oświetlenie', 'pojemność', 'wygoda']",[],1,1,2019-02-24 19:17:26,2019-01-24 13:35:00
11135085,Andrzej,Polecam,5.0,"['głośność pracy', 'klasa energetyczna', 'oświetlenie', 'pojemność', 'wygoda']",[],0,0,2019-11-01 16:57:51,2019-09-29 17:38:24
16191662,Jola,Polecam,4.5,"['głośność pracy', 'pojemność', 'wygoda']",[],0,0,2022-06-09 17:22:42,2022-06-02 16:05:43
12381047,Użytkownik Ceneo,Polecam,5.0,[],[],0,0,2020-05-08 22:46:09,2020-04-07 13:35:34
10513894,DjGrab,Polecam,5.0,[],[],1,0,2019-05-13 10:59:15,2019-04-18 09:29:32
10451230,stanislaw,Polecam,5.0,[],[],0,0,2019-04-26 20:12:40,2019-03-30 17:31:54
15361596,kacper.fehlau5678*****,Polecam,5.0,"['głośność pracy', 'jakość wykończenia', 'klasa energetyczna', 'oświetlenie', 'pojemność', 'wygoda']",[],0,0,2021-12-14 12:24:10,2021-12-09 16:50:12
11922768,Użytkownik Ceneo,Polecam,5.0,[],[],0,0,2020-03-17 12:15:12,2020-03-12 20:56:38
14521566,k...5,Polecam,4.5,"['głośność pracy', 'jakość wykończenia', 'klasa energetyczna', 'oświetlenie', 'pojemność', 'wygoda']",[],0,0,2021-05-27 11:04:56,2020-07-31 13:34:11
13762062,martynaguzparalu,Polecam,5.0,"['jakość wykończenia', 'klasa energetyczna', 'oświetlenie', 'pojemność', 'wygoda']",['głośność pracy'],0,0,2021-01-13 13:12:23,2021-01-10 13:15:21
12737135,D...0,Polecam,5.0,"['głośność pracy', 'klasa energetyczna', 'pojemność', 'wygoda']",[],0,0,2020-06-30 16:04:23,2020-06-22 12:36:07
14761313,t...n,Polecam,5.0,[],[],0,0,2021-07-24 10:45:36,2021-07-08 16:28:36
15379673,m...6,Polecam,5.0,"['głośność pracy', 'jakość wykończenia', 'klasa energetyczna', 'oświetlenie', 'pojemność', 'wygoda']",[],0,0,2021-12-16 16:56:22,2021-11-15 17:36:56
15714630,a...1,Polecam,5.0,[],[],0,0,2022-02-17 09:47:28,2022-01-17 10:05:54
13662189,a...i,Polecam,5.0,"['pojemność', 'wygoda']",[],0,0,2020-12-28 15:14:03,2020-12-22 11:24:54
13770945,t...i,Polecam,5.0,"['głośność pracy', 'klasa energetyczna', 'pojemność', 'wygoda']",[],0,0,2021-01-14 14:36:53,2021-01-11 17:20:25
12979214,e...5,Polecam,5.0,[],[],0,0,2020-08-20 06:14:40,2020-08-12 18:16:08
14851335,k...k,Polecam,4.5,"['głośność pracy', 'oświetlenie', 'pojemność', 'wygoda']",[],0,0,2021-08-17 18:43:11,2021-08-02 18:18:25
13770297,a...6,Polecam,5.0,"['głośność pracy', 'jakość wykończenia', 'klasa energetyczna', 'oświetlenie', 'pojemność', 'wygoda']",[],0,0,2021-01-14 12:52:06,2021-01-07 19:55:28
13713242,m...4,Polecam,5.0,"['głośność pracy', 'klasa energetyczna', 'pojemność', 'wygoda']",[],0,0,2021-01-05 12:20:51,2020-12-19 00:01:16
8654364,Wioletta,Polecam,5.0,[],[],0,0,2018-12-01 15:30:19,2018-11-21 10:42:21
14803806,b...2,Polecam,5.0,[],[],0,0,2021-08-04 21:39:33,2021-07-14 17:21:02
13993036,Sylwia,Polecam,5.0,[],[],0,0,2021-02-20 16:12:04,2021-02-04 17:50:28
15315816,t...k,Polecam,5.0,[],[],0,0,2021-12-06 23:04:45,2021-11-29 19:56:39
15236683,s...y,Polecam,5.0,[],"['głośność pracy', 'klasa energetyczna']",0,0,2021-11-21 08:02:53,2021-11-14 18:16:45
8654210,Użytkownik Ceneo,Polecam,5.0,[],[],0,0,2018-12-01 12:54:27,2018-11-14 12:26:47
16038075,m...i,Polecam,5.0,"['głośność pracy', 'klasa energetyczna', 'pojemność', 'wygoda']",[],0,0,2022-05-04 07:49:02,2022-04-11 11:45:55
15141411,n...2,Polecam,4.0,"['głośność pracy', 'klasa energetyczna', 'pojemność', 'wygoda']",[],0,0,2021-10-29 06:55:39,2021-10-20 08:00:48
13818151,m...r,Polecam,5.0,[],[],0,0,2021-01-21 22:48:20,2021-01-02 20:00:18
8289964,Piotr,Polecam,4.0,[],[],0,0,2018-08-27 21:07:49,2018-08-15 19:08:36
15258523,m...3,Polecam,5.0,[],[],0,0,2021-11-25 10:35:26,2021-11-18 10:44:44
14892307,r...1,Polecam,5.0,[],[],0,0,2021-08-27 09:52:21,2021-08-16 09:55:15
13683760,j...i,Polecam,5.0,[],[],0,0,2020-12-30 19:44:23,2020-12-22 11:48:36
12609543,i...y,Polecam,5.0,[],[],0,0,2020-06-08 13:12:44,2020-06-03 07:37:33
15269966,b...6,Polecam,4.0,"['głośność pracy', 'klasa energetyczna', 'pojemność', 'wygoda']",[],0,0,2021-11-27 17:34:31,2021-11-21 20:14:14
15932956,m...4,Polecam,5.0,[],[],0,0,2022-04-07 21:15:48,2022-03-08 16:31:14
15904145,n...9,Polecam,5.0,['głośność pracy'],[],0,0,2022-04-01 13:21:57,2022-03-28 18:12:22
15420591,k...o,Polecam,5.0,"['głośność pracy', 'jakość wykończenia', 'klasa energetyczna', 'oświetlenie', 'pojemność', 'wygoda']",[],0,0,2021-12-24 07:24:18,2021-11-23 15:04:52
12461308,A...1,Polecam,5.0,[],[],0,0,2020-05-19 12:22:30,2020-04-24 13:54:28
11558786,Teresa,Polecam,5.0,[],[],0,0,2020-01-11 17:31:22,2020-01-04 16:00:17
13332485,g...8,Polecam,5.0,[],[],0,0,2020-11-06 05:32:50,2020-10-14 12:05:43
16061870,s...a,Polecam,5.0,[],[],0,0,2022-05-09 21:16:30,2022-04-13 19:59:24
15961522,o...s,Polecam,5.0,[],[],0,0,2022-04-14 13:07:34,2022-04-07 10:20:45
14781272,j...6,Polecam,4.0,[],[],0,0,2021-07-29 15:44:36,2021-07-26 16:41:44
14676892,m...7,Polecam,5.0,"['głośność pracy', 'klasa energetyczna', 'pojemność', 'wygoda']",[],0,0,2021-07-02 21:05:49,2021-06-12 12:31:02
10089967,Tomasz,Polecam,5.0,[],[],0,0,2019-02-13 10:25:04,2019-01-24 19:03:10
8602325,Użytkownik Ceneo,Polecam,5.0,"['głośność pracy', 'jakość wykończenia', 'oświetlenie', 'pojemność']",[],0,0,2018-11-22 12:00:12,
8553148,Użytkownik Ceneo,Polecam,5.0,['pojemność'],[],0,0,2018-11-13 05:54:42,
8316870,Użytkownik Ceneo,Polecam,5.0,"['jakość wykończenia', 'oświetlenie', 'wygoda']",[],0,0,2018-09-05 06:27:25,
8419273,Użytkownik Ceneo,Polecam,5.0,"['głośność pracy', 'pojemność', 'wygoda']",[],0,0,2018-10-08 10:30:05,
8652905,Użytkownik Ceneo,Polecam,5.0,[],[],1,1,2018-12-01 06:40:30,
8852094,Użytkownik Ceneo,Polecam,5.0,[],[],0,1,2019-01-03 08:08:25,
9003147,Użytkownik Ceneo,Polecam,5.0,"['głośność pracy', 'pojemność']",[],0,0,2019-01-29 11:09:53,
11068025,Użytkownik Ceneo,,5.0,[],[],0,0,2019-09-21 15:30:16,
10958966,Użytkownik Ceneo,,4.0,[],[],0,0,2019-08-24 02:02:50,
10926523,Użytkownik Ceneo,,4.5,[],[],0,0,2019-08-16 17:12:21,
8602326,Użytkownik Ceneo,,5.0,[],[],0,0,2018-11-22 11:56:50,
8253361,Użytkownik Ceneo,Nie polecam,0.5,[],"['głośność pracy', 'klasa energetyczna', 'wygoda']",2,4,2018-08-16 14:13:53,
10135777,Użytkownik Ceneo,Nie polecam,0.5,[],"['głośność pracy', 'pojemność']",0,1,2019-02-21 14:22:20,
